title,description,publishedDate,channelName,views,duration,isShort
"""Captain America: Brave New World"" Official Trailer REACTION!!",In today's Episode of Dwayne N Jazz we react to Captain America: Brave New World | Official Trailer and this trailer makes it look like it's getting more serious for Sam and wondering how he's...,2024-11-09T22:09:27.293Z,Dwayne N Jazz,30539,333,False
"""Sonic the Hedgehog 3"" Official Trailer REACTION!!!","In today's Episode of Dwayne N Jazz we react to Sonic the Hedgehog 3 - Official Trailer and this trailer looks AMAZING!! Shadow looks like a savage, we get fat Eggman, and maybe we might see...",2024-08-28T17:39:15.842Z,Dwayne N Jazz,206200,362,False
'Georgie & Mandy's First Marriage' Trailer | 'Young Sheldon' Spinoff,"Watch an exclusive first look at the trailer for #YoungSheldon spinoff Georgie and Mandy's First Marriage, premiering October 17 on CBS.

Follow TVLine on...
Twitter: http://www.twitter.com/tvlin...",2024-09-13T19:58:49.468Z,TVLine,1485952,61,False
'Shifting Gears' Trailer | Tim Allen and Kat Dennings 2025 ABC Sitcom,"Watch the full trailer for the new Tim Allen and Kat Dennings sitcom, premiering Wednesday, Jan. 8, 2025 at 8:00 p.m. ET/PT on ABC. #ShiftingGears 

Follow TVLine on...
Twitter: http://www.twitt...",2024-12-30T20:08:54.347Z,TVLine,732332,122,False
10 BEST MOVIE TRAILERS 2025 | December | 4K ULTRA HD,"10 BEST MOVIE TRAILERS 2025 | December | 4K ULTRA HD

00:00 Death Of A Unicorn
02:18 Superman 
04:37 Snow White
07:03 John Wick Ballerina
10:14 Into The Deep
12:18 Novocaine 
14:39 28 Years...",2025-01-04T20:09:23.434Z,TrailerSpot,731636,1261,False
1923 | Season 2 Official Trailer | Paramount+,"Season 2 of 1923 is streaming February 23 on Paramount+.

A cruel winter brings new challenges and unfinished business to Jacob and Cara back at Dutton ranch. With harsh conditions and adversaries...",2025-01-19T23:09:52.724Z,Paramount Plus,703876,119,False
2024 Ohio State Football: 𝗧𝗵𝗲 𝗧𝗿𝗮𝗶𝗹𝗲𝗿 𝗩𝗼𝗹. 𝟭𝟮 𝗧𝗛𝗘 𝗚𝗔❌𝗘 🍿🔥🎥,"Beat That Tea❌ Up North. The 2024 chapter of the Rivalry is here...

Produced by Ethan ❌iller & Peter Fortunato

- Follow us on Twitter: https://twitter.co❌/ohiostatefb
- Follow us on...",2024-11-29T20:09:37.786Z,Ohio State Football,59068,123,False
2025 Ohio State Football: 𝗧𝗵𝗲 𝗧𝗿𝗮𝗶𝗹𝗲𝗿 𝗩𝗼𝗹. 𝟭𝟱 𝗢𝗛𝗜𝗢 𝗔𝗚𝗔𝗜𝗡𝗦𝗧 𝗧𝗛𝗘 𝗪𝗢𝗥𝗟𝗗 🍿🔥🎥,"The College Football Semifinal in Texas, vs Texas... where nothing else matters but one thing, Ohio Against The World...

Produced by Ethan Miller

Footage from Ohio State Football, Two Circles...",2025-01-09T20:09:23.434Z,Ohio State Football,65481,106,False
28 YEARS LATER TRAILER BREAKDOWN! Easter Eggs & Details You Missed!,28 Years Later Full Trailer Breakdown and Analysis by New Rockstars’ Jessica Clemons! Head to https://www.squarespace.com/newrockstars to save 10% off your first purchase of a website or...,2024-12-12T20:11:16.426Z,New Rockstars,226840,849,False
28 YEARS LATER – Official Trailer (HD),"What will humanity become?

Danny Boyle and Alex Garland reunite for #28YearsLater - only in theatres 6.20.25.

Follow Us on Social:
https://x.com/28YearsLaterMov
https://www.facebook.com/28yearsla...",2024-12-10T08:11:29.736Z,Sony Pictures Entertainment,19556597,133,False
28 YEARS LATER – Official Trailer - Reaction!,#28yearslater #28dayslater #28weekslater #tyronemagnus #reaction #movie #movies,2024-12-10T20:14:52.383Z,Tyrone Magnus,67072,232,False
28 Years Later Teaser - 🆘 (2025),"Check out the official teaser for 28 Years Later directed by Danny Boyle!

► Visit Fandango: https://www.fandango.com/?cmp=Trailers_YouTube_Desc

Subscribe to the channel and click the bell...",2024-12-07T20:10:20.464Z,Rotten Tomatoes Trailers,223300,23,False
A COMPLETE UNKNOWN | Final Trailer | Searchlight Pictures,"“Breathtaking cinema at the highest level and one of the best films of the year.” Timothée Chalamet as Bob Dylan in A COMPLETE UNKNOWN, the ballad of a true original. A Film by James Mangold....",2024-12-23T20:10:01.533Z,SearchlightPictures,195956,76,False
A COMPLETE UNKNOWN | Official Teaser | Searchlight Pictures,"Timoth??e Chalamet is Bob Dylan in A COMPLETE UNKNOWN. A Film By James Mangold. Co-starring Edward Norton, Elle Fanning, Monica Barbaro, Boyd Holbrook, Dan Fogler, Norbert Leo Butz and Scoot...",2024-08-01T00:57:43.999Z,SearchlightPictures,3571670,113,False
